,k,s1,Prob_Win,Posterior_Expectation
0,2,2,0.75,3.3333333333333335
1,3,3,0.8333333333333333,4.800000000000001
2,4,4,0.875,6.285714285714286
3,5,5,0.9,7.777777777777778
4,6,6,0.9166666666666667,9.272727272727272
5,7,7,0.9285714285714285,10.76923076923077
6,8,8,0.9375,12.266666666666667
7,9,9,0.9444444444444444,13.764705882352942
8,10,10,0.9500000000000001,15.26315789473684
9,11,11,0.9545454545454545,16.761904761904763
10,12,12,0.9583333333333333,18.260869565217394
11,13,13,0.9615384615384616,19.759999999999998
12,14,14,0.9642857142857143,21.25925925925926
13,15,15,0.9666666666666667,22.75862068965517
14,16,16,0.96875,24.258064516129032
15,17,17,0.9705882352941176,25.757575757575758
16,18,18,0.9722222222222222,27.257142857142856
17,19,19,0.9736842105263157,28.756756756756758
18,20,20,0.975,30.256410256410255
19,21,21,0.9761904761904762,31.75609756097561
20,22,22,0.9772727272727273,33.25581395348837
21,23,23,0.9782608695652174,34.75555555555555
22,24,24,0.9791666666666667,36.25531914893617
23,25,25,0.98,37.755102040816325
24,26,26,0.9807692307692308,39.25490196078431
25,27,27,0.9814814814814814,40.75471698113208
26,28,28,0.9821428571428572,42.25454545454545
27,29,29,0.9827586206896552,43.75438596491228
28,30,30,0.9833333333333334,45.25423728813559
29,31,31,0.9838709677419355,46.75409836065574
30,32,32,0.984375,48.25396825396825
31,33,33,0.9848484848484849,49.753846153846155
32,34,34,0.9852941176470588,51.25373134328358
33,35,35,0.9857142857142857,52.7536231884058
34,36,36,0.986111111111111,54.25352112676057
35,37,37,0.9864864864864865,55.75342465753425
36,38,38,0.986842105263158,57.25333333333333
37,39,39,0.9871794871794871,58.753246753246756
38,40,40,0.9874999999999999,60.25316455696203
39,41,41,0.9878048780487805,61.75308641975309
40,42,42,0.988095238095238,63.25301204819277
41,43,43,0.9883720930232558,64.75294117647059
42,44,44,0.9886363636363636,66.25287356321839
43,45,45,0.9888888888888888,67.75280898876404
44,46,46,0.9891304347826088,69.25274725274726
45,47,47,0.9893617021276595,70.75268817204302
46,48,48,0.9895833333333333,72.25263157894737
47,49,49,0.9897959183673469,73.75257731958763
48,50,50,0.99,75.25252525252526
49,51,51,0.9901960784313725,76.75247524752476
50,52,52,0.9903846153846153,78.25242718446603
51,53,53,0.9905660377358491,79.75238095238095
52,54,54,0.9907407407407408,81.25233644859813
53,55,55,0.9909090909090909,82.75229357798166
54,56,56,0.9910714285714285,84.25225225225226
55,57,57,0.9912280701754386,85.75221238938053
56,58,58,0.9913793103448275,87.25217391304348
57,59,59,0.9915254237288136,88.75213675213675
58,60,60,0.9916666666666666,90.25210084033614
59,61,61,0.9918032786885246,91.75206611570248
60,62,62,0.9919354838709677,93.2520325203252
61,63,63,0.992063492063492,94.75200000000001
62,64,64,0.9921875,96.25196850393701
63,65,65,0.9923076923076923,97.75193798449612
64,66,66,0.9924242424242424,99.25190839694656
65,67,67,0.9925373134328358,100.75187969924812
66,68,68,0.9926470588235294,102.25185185185185
67,69,69,0.9927536231884059,103.75182481751824
68,70,70,0.9928571428571429,105.25179856115108
69,71,71,0.9929577464788732,106.7517730496454
70,72,72,0.9930555555555556,108.25174825174825
71,73,73,0.9931506849315068,109.75172413793103
72,74,74,0.9932432432432433,111.2517006802721
73,75,75,0.9933333333333334,112.75167785234899
74,76,76,0.9934210526315789,114.25165562913908
75,77,77,0.9935064935064934,115.75163398692811
76,78,78,0.9935897435897436,117.2516129032258
77,79,79,0.9936708860759494,118.7515923566879
78,80,80,0.99375,120.25157232704402
79,81,81,0.9938271604938271,121.75155279503106
80,82,82,0.9939024390243902,123.25153374233129
81,83,83,0.9939759036144578,124.75151515151516
82,84,84,0.9940476190476191,126.25149700598801
83,85,85,0.9941176470588236,127.75147928994083
84,86,86,0.9941860465116279,129.2514619883041
85,87,87,0.9942528735632185,130.7514450867052
86,88,88,0.9943181818181819,132.25142857142856
87,89,89,0.9943820224719101,133.75141242937852
88,90,90,0.9944444444444445,135.2513966480447
89,91,91,0.9945054945054945,136.75138121546962
90,92,92,0.9945652173913043,138.2513661202186
91,93,93,0.9946236559139785,139.75135135135136
92,94,94,0.9946808510638299,141.25133689839572
93,95,95,0.9947368421052631,142.75132275132276
94,96,96,0.9947916666666667,144.25130890052355
95,97,97,0.9948453608247423,145.75129533678756
96,98,98,0.9948979591836734,147.25128205128206
97,99,99,0.994949494949495,148.75126903553297
